Looping
#cache,OPT,LRU,FIFO,RAND
0,0,0,0,0
5,8.1500000000000,0.0000000000000,0.0000000000000,0.0100000000000
10,18.3000000000000,0.0000000000000,0.0000000000000,0.6800000000000
15,28.4500000000000,0.0000000000000,0.0000000000000,3.7900000000000
20,38.6000000000000,0.0000000000000,0.0000000000000,10.2400000000000
25,48.7500000000000,0.0000000000000,0.0000000000000,19.5100000000000
30,58.9000000000000,0.0000000000000,0.0000000000000,32.1100000000000
35,69.0500000000000,0.0000000000000,0.0000000000000,46.4800000000000
40,79.2000000000000,0.0000000000000,0.0000000000000,62.2900000000000
45,89.3500000000000,0.0000000000000,0.0000000000000,80.3000000000000
50,99.5000000000000,99.5000000000000,99.5000000000000,99.5000000000000
55,99.5000000000000,99.5000000000000,99.5000000000000,99.5000000000000
60,99.5000000000000,99.5000000000000,99.5000000000000,99.5000000000000
65,99.5000000000000,99.5000000000000,99.5000000000000,99.5000000000000
70,99.5000000000000,99.5000000000000,99.5000000000000,99.5000000000000
75,99.5000000000000,99.5000000000000,99.5000000000000,99.5000000000000
80,99.5000000000000,99.5000000000000,99.5000000000000,99.5000000000000
85,99.5000000000000,99.5000000000000,99.5000000000000,99.5000000000000
90,99.5000000000000,99.5000000000000,99.5000000000000,99.5000000000000
95,99.5000000000000,99.5000000000000,99.5000000000000,99.5000000000000
100,99.5000000000000,99.5000000000000,99.5000000000000,99.5000000000000
